form	lemma	morph	POS
drapiaus	drapitas	NOMB.=s|GENRE=m|CAS=r	NOMcom
,	,	_	PONfbl
si	si	DEGRE=-	ADVgen
c’on	cer1	NOMB.=s|GENRE=m|CAS=r	PROdem
ne	ne1	MORPH=empty	ADVneg
quidast	querre	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
jamais	ja+mais1	DEGRE=-	ADVgen
que	que4	MORPH=empty	CONsub
nus	nul	NOMB.=s|GENRE=m|CAS=n	PROind
i	il	MORPH=empty	PROadv
fust	estre1	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
,	,	_	PONfbl
car	car	MORPH=empty	CONcoo
tres	très	DEGRE=-	ADVgen
adont	adonc	DEGRE=-	ADVgen
esquivoit	esquivre	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
les	le	PERS.=3|NOMB.=p|GENRE=m|CAS=r	DETdef
malvaises	mavoir	NOMB.=p|GENRE=m|CAS=r	VERcjg
honnors	onor	NOMB.=p|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
amoit	ametre	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
et	et	MORPH=empty	CONcoo
ensivoit	ensivre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
a	a3	MORPH=empty	PRE
son	suen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	DETpos
pooir	poislier	NOMB.=s|GENRE=m|CAS=r	NOMcom
humilité	umelité	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
casteé	cestre	NOMB.=s|GENRE=f|CAS=r	VERppe
et	et	MORPH=empty	CONcoo
vaoit	vëoir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
a	a3	MORPH=empty	PRE
tous	tot	NOMB.=p|GENRE=m|CAS=r	DETind
jors	jor	NOMB.=p|GENRE=m|CAS=r	NOMcom
mais	mais1	MORPH=empty	CONcoo
a	a3	MORPH=empty	PRE
esquiver	esquerre	NOMB.=x|GENRE=x|CAS=x	VERinf
humain	homain	NOMB.=x|GENRE=x|CAS=x	ADJqua
lit	lit1	NOMB.=s|GENRE=m|CAS=r	NOMcom
por	por2	MORPH=empty	PRE
plus	plus	DEGRE=c	ADVgen
legierement	lenier1	DEGRE=-	ADVgen
parvenir	parvenir	NOMB.=x|GENRE=x|CAS=x	VERinf
a	a3	MORPH=empty	PRE
son	suen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	DETpos
espirituel	espiret	NOMB.=s|GENRE=m|CAS=r	NOMcom
espous	espöoir	DEGRE=c	ADJqua
et	et	MORPH=empty	CONcoo
ce	ce1	NOMB.=s|GENRE=n|CAS=r	PROdem
n’est	naistre	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
mie	mie1	MORPH=empty	ADVneg
doute	doter1	NOMB.=s|GENRE=m|CAS=r	VERcjg
que	que4	MORPH=empty	CONsub
ce	ce1	NOMB.=s|GENRE=n|CAS=r	PROdem
ne	ne1	MORPH=empty	ADVneg
fust	estre1	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
par	par	MORPH=empty	PRE
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
porveance	porvence	NOMB.=s|GENRE=m|CAS=r	NOMcom
Nostre	nostre	PERS.=1|NOMB.=s|GENRE=m|CAS=n	DETpos
Seignor	seignor	NOMB.=s|GENRE=m|CAS=n	NOMcom
qu’ele	que2	NOMB.=s|GENRE=f|CAS=n	PROint
ne	ne1	MORPH=empty	ADVneg
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
cele	cel	NOMB.=s|GENRE=f|CAS=r	DETdem
nuit	nuit	NOMB.=s|GENRE=f|CAS=r	NOMcom
trovee	trover	NOMB.=s|GENRE=f|CAS=r	VERppe
,	,	_	PONfbl
car	car	MORPH=empty	CONcoo
por	por2	MORPH=empty	PRE
ce	ce1	NOMB.=s|GENRE=n|CAS=r	DETdem
qu’ele	que2	NOMB.=s|GENRE=f|CAS=n	PROint
ne	ne1	MORPH=empty	ADVneg
peut	pöoir	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	VERcjg
estre	estre1	MORPH=empty	VERinf
trovee	trover	NOMB.=s|GENRE=f|CAS=r	VERppe
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
une	un	NOMB.=s|GENRE=f|CAS=r	DETndf
autre	autre	NOMB.=s|GENRE=f|CAS=r	ADJind
amenee	amenee	NOMB.=s|GENRE=f|CAS=r	NOMcom
au	a3+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
lit	lit1	NOMB.=s|GENRE=m|CAS=r	NOMcom
del	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
prince	prince	NOMB.=s|GENRE=m|CAS=r	NOMcom
,	,	_	PONfbl
siques	siver	NOMB.=s|GENRE=m|CAS=n	OUT
,	,	_	PONfbl
quant	cant1	MORPH=empty	CONsub
il	il	PERS.=3|NOMB.=s|GENRE=m|CAS=n	PROper
en	en2	MORPH=empty	PROadv
eut	avoir	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
fait	faire	NOMB.=s|GENRE=m|CAS=r	VERppe
se	suen	MORPH=empty	DETpos
volenté	volenté	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
Batelt	batel1	NOMB.=s|GENRE=f|CAS=n	NOMcom
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
a	a3	MORPH=empty	PRE
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
parfin	parfin	NOMB.=p|GENRE=f|CAS=r	NOMcom
quise	que2	NOMB.=s|GENRE=f|CAS=r	OUT
et	et	MORPH=empty	CONcoo
trovee	trover	NOMB.=s|GENRE=f|CAS=r	VERppe
,	,	_	PONfbl
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
ne	ne1	MORPH=empty	ADVneg
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
touquie	tocier	NOMB.=s|GENRE=f|CAS=n	VERppe
del	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
prince	prince	NOMB.=s|GENRE=m|CAS=r	NOMcom
.	.	_	PONfrt
Et	et	MORPH=empty	CONcoo
tout	tot	NOMB.=s|GENRE=n|CAS=r	DETind
ce	ce1	NOMB.=s|GENRE=n|CAS=r	PROdem
fist	faire	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
Nostre	nostre	PERS.=1|NOMB.=s|GENRE=m|CAS=n	DETpos
Sires	seignor	NOMB.=s|GENRE=m|CAS=n	NOMcom
por	por2	MORPH=empty	PRE
ce	ce1	NOMB.=s|GENRE=n|CAS=r	DETdem
qu’il	quel1	NOMB.=s|GENRE=n|CAS=r	PROrel
voloit	voloir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
que	que4	MORPH=empty	CONsub
cele	cel	NOMB.=s|GENRE=f|CAS=n	PROdem
eust	estre1	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
seigneur	seignor	NOMB.=s|GENRE=m|CAS=r	NOMcom
qui	qui	NOMB.=s|GENRE=m|CAS=n	PROrel
por	por2	MORPH=empty	PRE
amor	amor	NOMB.=s|GENRE=f|CAS=r	NOMcom
de	de	MORPH=empty	PRE
li	il	PERS.=3|NOMB.=s|GENRE=m|CAS=i	PROper
avoit	avoir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
refusé	refuser	NOMB.=s|GENRE=m|CAS=r	VERppe
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
sergant	serjant	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
pour	por2	MORPH=empty	NOMcom
che	che1	NOMB.=s|GENRE=m|CAS=r	OUT
meismes	mëisme	NOMB.=s|GENRE=f|CAS=r	ADJind
qu’il	quel1	NOMB.=s|GENRE=f|CAS=n	PROrel
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
raisons	raison	NOMB.=s|GENRE=f|CAS=n	NOMcom
que	que1	MORPH=empty	CONsub
de	de	MORPH=empty	PRE
cele	cel	NOMB.=s|GENRE=f|CAS=r	PROdem
qui	qui	NOMB.=s|GENRE=f|CAS=n	PROrel
de	de	MORPH=empty	PRE
roial	roial	NOMB.=s|GENRE=f|CAS=r	ADJqua
lignie	ligniee	NOMB.=s|GENRE=f|CAS=r	NOMcom
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
estraite	estraitier	NOMB.=s|GENRE=f|CAS=n	VERppe
que	que1	MORPH=empty	CONsub
roiaus	roiau	NOMB.=s|GENRE=m|CAS=n	ADJqua
lignaiges	lignage	NOMB.=s|GENRE=m|CAS=n	NOMcom
en	en2	MORPH=empty	PRE
issist	issir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	NOMcom
,	,	_	PONfbl
car	car	MORPH=empty	CONcoo
ne	ne2	MORPH=empty	CONcoo
demoura	demorer	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
gaires	gaire	DEGRE=-	ADVgen
qu’ele	quel1	NOMB.=s|GENRE=f|CAS=n	PROint
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
mariee	marïer	NOMB.=s|GENRE=f|CAS=n	VERppe
a	a3	MORPH=empty	PRE
Clodoveu	Clordos	NOMB.=s|GENRE=m|CAS=r	VERppe
,	,	_	PONfbl
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
fil	fil2	NOMB.=s|GENRE=m|CAS=r	NOMcom
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
bon	bon	NOMB.=s|GENRE=m|CAS=r	ADJqua
roi	roi2	NOMB.=s|GENRE=m|CAS=r	NOMcom
Dagoubert	deguerrat	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERppe
.	.	_	PONfrt
